Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
2e56c5b5-2c82-6d1d-7079-dbfe8f96c2d6,2025-05-23,,999-52-6755,,,,Chery887,Ashanti808,Adams676,,,,black,nonhispanic,F,Haverhill  Massachusetts  US,986 Keeling Trailer,Duxbury,Massachusetts,Plymouth County,25023,02332,42.040264152903845,-70.66500537711745,5906.63,0.00,333461
7c16df03-aaa4-44bf-0e1e-e3edd1005e04,2024-09-26,,999-45-5686,,,,Refugio197,,Gleason633,,,,white,nonhispanic,M,Scituate  Massachusetts  US,1096 Walsh Boulevard Unit 13,Sturbridge,Massachusetts,Worcester County,25027,01507,42.12018252197598,-72.03438369828578,3482.33,2265.34,154802
e39037a7-e8ee-9f8e-53ca-de321346350c,2012-05-17,,999-72-1355,,,,Josue598,,Frami345,,,,black,nonhispanic,M,Concord  Massachusetts  US,752 Becker Passage,Somerville,Massachusetts,Middlesex County,25017,02143,42.3955992907719,-71.11198967033306,2787.58,31503.17,9874
27a3fd66-e528-19a2-cf4e-70fd398f47b7,1997-01-15,,999-59-2911,S99970416,X12579419X,Ms.,Jaimie425,,Littel644,,,S,white,hispanic,F,Westborough  Massachusetts  US,266 Fahey Overpass,Boston,Massachusetts,Suffolk County,25025,02127,42.39373357562791,-71.17064343505336,9255.86,749383.59,7695
d132d26f-3ab4-3a5a-a1c4-094ce8eda5d9,1992-09-17,,999-44-2497,S99999248,X02813502X,Mrs.,Lillia547,Kaylene27,Mayert710,,Rodriguez71,M,white,nonhispanic,F,Boston  Massachusetts  US,868 Wintheiser Vale,Dartmouth,Massachusetts,Bristol County,,00000,41.60160683181032,-71.00331936995234,176801.24,218180.00,54188
f35f223f-6bac-ff54-1f0f-e6b3b0964c1d,2009-03-04,,999-71-9814,S99939692,,,Santina680,Jerrie417,Eichmann909,,,,white,nonhispanic,F,Pittsfield  Massachusetts  US,237 Welch Rapid Apt 74,Watertown,Massachusetts,Middlesex County,25017,02472,42.34435855141964,-71.13846032175996,3099.28,67023.43,17518
22019d6e-60d1-1d6a-1dcf-6db654bdc13d,1977-07-07,,999-86-3135,S99953045,X66845784X,Mr.,Elisha578,Lamar193,Rice937,,,M,black,nonhispanic,M,Lynnfield  Massachusetts  US,1099 Grant Terrace,Springfield,Massachusetts,Hampden County,25013,01106,42.138703657024195,-72.56422498460113,152236.14,3927.14,89706
99293664-6c69-0071-0da6-1380eb3ff69a,1965-03-07,,999-70-5122,S99947492,X34347908X,Mrs.,Glayds212,Ayana300,Huel628,,Wolff180,M,black,hispanic,F,Canton  Massachusetts  US,1041 Grady Tunnel Unit 18,Rutland,Massachusetts,Worcester County,25027,01543,42.405075151364244,-72.00006807336922,563173.35,140756.19,54520
44c321fb-1140-480f-855b-dc9768f52d0f,1966-04-07,2020-11-22,999-21-2735,S99963578,X69929344X,Mr.,Russ979,,Parker433,,,D,white,nonhispanic,M,Tewksbury  Massachusetts  US,1091 Barton Lane Unit 74,Ashfield,Massachusetts,Franklin County,,00000,42.51562152513693,-72.84085719877605,167613.13,123823.99,40891
4efb54ab-ca7f-7e9e-11f5-c5e833ac0390,1963-05-09,,999-71-3412,S99932837,X55547575X,Mrs.,Helaine42,Theressa101,Monahan736,,Marvin195,M,white,nonhispanic,F,Medford  Massachusetts  US,423 Lesch Heights Suite 16,Danvers,Massachusetts,Essex County,25009,01923,42.547853350501235,-70.95528032564907,315877.56,47023.94,69805
